symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TECHM,EQ,-,5,Interim Dividend - Rs 15 Per Share,20-Oct-2025,21-Oct-2025,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Dividend - Rs 30 Per Share,04-Jul-2025,04-Jul-2025,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Interim Dividend - Rs 15 Per Share,31-Oct-2024,01-Nov-2024,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Annual General Meeting/Dividend - Rs 28 Per Share,19-Jul-2024,-,20-Jul-2024,26-Jul-2024,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Interim Dividend - Rs 12 Per Share,02-Nov-2023,02-Nov-2023,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Annual General Meeting/Dividend - Rs  32 Per Share,21-Jul-2023,-,22-Jul-2023,27-Jul-2023,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Special Dividend - Rs 18 Per Share,09-Nov-2022,10-Nov-2022,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Annual General Meeting/Special Dividend - Rs 15 Per Share/Dividend - Rs 15 Per Share,21-Jul-2022,-,23-Jul-2022,26-Jul-2022,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Special Dividend - Rs 15 Per Share,02-Nov-2021,05-Nov-2021,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/Dividend - Rs 15 Per Share Special Dividend 15 Per Share,23-Jul-2021,-,27-Jul-2021,30-Jul-2021,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Special Dividend - Rs 15 Per Share,29-Oct-2020,02-Nov-2020,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/Dividend - Rs 5 Per Share,23-Jul-2020,-,25-Jul-2020,28-Jul-2020,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Interim Dividend - Rs 10 Per Share,02-Mar-2020,03-Mar-2020,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/Dividend Rs 14 Per Share,25-Jul-2019,-,27-Jul-2019,31-Jul-2019,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Buy Back,05-Mar-2019,06-Mar-2019,-,-,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/Dividend- Rs 14 Per Share,26-Jul-2018,-,28-Jul-2018,31-Jul-2018,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/ Dividend -Rs 9/- Per Share,27-Jul-2017,-,29-Jul-2017,01-Aug-2017,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5, Annual General Meeting/Final Dividend Rs 6/- Per Share And Special Dividend Rs 6/- Per Share,28-Jul-2016,-,30-Jul-2016,02-Aug-2016,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Annual General Meeting/ Dividend - Rs 6/- Per Share,23-Jul-2015,-,25-Jul-2015,28-Jul-2015,-,Tech Mahindra Limited,INE669C01028,-,
TECHM,EQ,-,5,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,19-Mar-2015,20-Mar-2015,-,-,-,Tech Mahindra Limited,INE669C01028,-,
