symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TATACONSUM,EQ,-,1,Dividend - Rs 8.25 Per Share,29-May-2025,29-May-2025,-,-,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Rights 1:26 @ Premium Rs 817/-,26-Jul-2024,27-Jul-2024,-,-,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Dividend - Rs 7.75 Per Share,24-May-2024,24-May-2024,-,-,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting/Dividend - Rs 8.45 Per Share,19-May-2023,-,20-May-2023,26-May-2023,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting/Dividend - Rs  6.05 Per Share,09-Jun-2022,-,11-Jun-2022,17-Jun-2022,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting/Dividend - Rs 4.05 Per Share,10-Jun-2021,-,12-Jun-2021,18-Jun-2021,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting/Dividend -Rs 2.70 Per Share,18-Jun-2020,-,22-Jun-2020,29-Jun-2020,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting/ Dividend - Rs 2.50 Per Share,24-May-2019,-,28-May-2019,04-Jun-2019,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting / Dividend- Rs 2.50 Per Share,20-Jun-2018,-,22-Jun-2018,05-Jul-2018,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting/Dividend- Rs 2.35 Per Share,04-Aug-2017,-,08-Aug-2017,18-Aug-2017,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1, Annual General Meeting/Dividend Rs 2.25 Per Share,08-Aug-2016,-,10-Aug-2016,24-Aug-2016,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting/ Dividend - Rs 2.25/- Per Share,30-Jul-2015,-,01-Aug-2015,14-Aug-2015,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting / Dividend - Rs 2.25/- Per Share,05-Aug-2014,-,07-Aug-2014,14-Aug-2014,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting/Dividend Rs 2.15/- Per Share,27-Jun-2013,-,02-Jul-2013,15-Jul-2013,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting/ Dividend Rs. 2.15 Per Share,09-Aug-2012,-,11-Aug-2012,31-Aug-2012,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting And Dividend Rs.2/- Per Share,10-Aug-2011,-,12-Aug-2011,30-Aug-2011,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Annual General Meeting And Dividend Rs.2/- Per Share,05-Aug-2010,-,08-Aug-2010,23-Aug-2010,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Face Value Split From Rs.10/- To Re.1/-,30-Jun-2010,02-Jul-2010,-,-,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Agm/Div-17.50 Per Share,13-Aug-2009,-,15-Aug-2009,01-Sep-2009,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
TATACONSUM,EQ,-,1,Agm/Div-Rs.15 + Spl-Rs.20,01-Aug-2008,-,05-Aug-2008,22-Aug-2008,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
